timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 14:59:27,429",46,264,fastrp-het,global_attention,0.4532,64,,"[1,1,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:59:38,615",47,264,fastrp-het,set2set,0.4886,64,,"[1,1,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:59:48,805",48,264,fastrp-het,mil_attention,0.5054,64,,"[1,1,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 14:59:59,785",49,264,fastrp-het,mean_pool,0.4793,64,,"[1,0,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:00:10,837",50,264,fastrp-het,global_attention,0.4831,64,,"[1,0,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:00:21,069",51,264,fastrp-het,set2set,0.4713,64,,"[1,0,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:00:32,153",52,264,fastrp-het,mil_attention,0.4811,64,,"[1,0,0,0,0,0,0,0,0,0]","{'dim': 64, 'weights': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:00:43,145",53,264,fastrp-het,mean_pool,0.4762,64,,"[0,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:00:53,385",54,264,fastrp-het,global_attention,0.4598,64,,"[0,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:01:03,701",55,264,fastrp-het,set2set,0.4768,64,,"[0,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [0, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
