timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 15:13:53,465",70,528,fastrp,global_attention,0.4643,64,none,"[0,0,0,0,0,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1]}"
"2025-09-29 15:14:01,730",71,528,fastrp,set2set,0.3998,64,none,"[0,0,0,0,0,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1]}"
"2025-09-29 15:14:10,002",72,528,fastrp,mil_attention,0.4366,64,none,"[0,0,0,0,0,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 1, 1, 1, 1, 1]}"
"2025-09-29 15:14:19,649",73,528,fastrp,mean_pool,0.4348,64,none,"[0,0,0,0,0,0,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:14:28,391",74,528,fastrp,global_attention,0.4251,64,none,"[0,0,0,0,0,0,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:14:36,647",75,528,fastrp,set2set,0.4468,64,none,"[0,0,0,0,0,0,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:14:44,959",76,528,fastrp,mil_attention,0.45,64,none,"[0,0,0,0,0,0,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 1, 1, 1, 1]}"
"2025-09-29 15:14:54,532",77,528,fastrp,mean_pool,0.4348,64,none,"[0,0,0,0,0,0,0,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:15:02,772",78,528,fastrp,global_attention,0.4135,64,none,"[0,0,0,0,0,0,0,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:15:10,946",79,528,fastrp,set2set,0.4411,64,none,"[0,0,0,0,0,0,0,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:15:19,715",80,528,fastrp,mil_attention,0.4163,64,none,"[0,0,0,0,0,0,0,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 1, 1, 1]}"
"2025-09-29 15:15:28,801",81,528,fastrp,mean_pool,0.435,64,none,"[0,0,0,0,0,0,0,0,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:15:37,079",82,528,fastrp,global_attention,0.4406,64,none,"[0,0,0,0,0,0,0,0,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:15:45,883",83,528,fastrp,set2set,0.4248,64,none,"[0,0,0,0,0,0,0,0,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:15:54,107",84,528,fastrp,mil_attention,0.4577,64,none,"[0,0,0,0,0,0,0,0,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 1, 1]}"
"2025-09-29 15:16:03,085",85,528,fastrp,mean_pool,0.4346,64,none,"[0,0,0,0,0,0,0,0,0,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
"2025-09-29 15:16:11,833",86,528,fastrp,global_attention,0.3848,64,none,"[0,0,0,0,0,0,0,0,0,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
"2025-09-29 15:16:20,620",87,528,fastrp,set2set,0.418,64,none,"[0,0,0,0,0,0,0,0,0,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
"2025-09-29 15:16:28,876",88,528,fastrp,mil_attention,0.4266,64,none,"[0,0,0,0,0,0,0,0,0,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}"
"2025-09-29 15:17:03,467",93,528,fastrp,mean_pool,0.503,128,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:17:15,604",94,528,fastrp,global_attention,0.5097,128,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:17:27,854",95,528,fastrp,set2set,0.4309,128,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:17:40,602",96,528,fastrp,mil_attention,0.5064,128,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:17:53,530",97,528,fastrp,mean_pool,0.5033,128,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:18:05,653",98,528,fastrp,global_attention,0.5085,128,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:18:18,398",99,528,fastrp,set2set,0.4787,128,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:18:31,160",100,528,fastrp,mil_attention,0.4365,128,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 128, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
